id,hname,City,state,ZIP Code,county,total_amount,year,group
1435,HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS,KINGSTON,NY,12401,ULSTER,89,1,medium
1436,"HEALTHALLIANCE HOSPITALS, INC",LEOMINSTER,MA,1453,WORCESTER,24,1,medium
1437,HEALTHEAST ST JOHNS HOSPITAL,MAPLEWOOD,MN,55109,RAMSEY,22,1,medium
1438,HEALTHEAST WOODWINDS HOSPITAL,WOODBURY,MN,55125,WASHINGTON,22,1,medium
1439,HEALTHMARK REGIONAL MEDICAL CENTER,DEFUNIAK SPRINGS,FL,32435,WALTON,23,1,medium
1440,HEALTHSOURCE SAGINAW,SAGINAW,MI,48603,SAGINAW,37,1,medium
1441,HEART HOSPITAL OF LAFAYETTE,LAFAYETTE,LA,70508,LAFAYETTE,20,0,low
1442,HEART OF AMERICA MEDICAL CENTER,RUGBY,ND,58368,PIERCE,20,0,low
1443,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,33837,POLK,21,0,low
1444,HEART OF LANCASTER REGIONAL MEDICAL CENTER,LITITZ,PA,17543,LANCASTER,21,0,low
1445,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,SALIDA,CO,81201,CHAFFEE,79,1,medium
1446,HEARTLAND REGIONAL MEDICAL CENTER,MARION,IL,62959,WILLIAMSON,20,0,low
1447,HEARTLAND REGIONAL MEDICAL CENTER,SAINT JOSEPH,MO,64506,BUCHANAN,20,0,low
1448,HEBER VALLEY MEDICAL CENTER,HEBER CITY,UT,84032,WASATCH,22,1,medium
1449,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,6117,HARTFORD,110,1,medium
1450,HEDRICK MEDICAL CENTER,CHILLICOTHE,MO,64601,LIVINGSTON,91,1,medium
1451,HEGG MEMORIAL HEALTH CENTER,ROCK VALLEY,IA,51247,SIOUX,111,1,medium
1452,HELEN HAYES HOSPITAL,WEST HAVERSTRAW,NY,10993,ROCKLAND,105,1,medium
1453,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660,COLBERT,21,0,low
1454,HELEN NEWBERRY JOY HOSPITAL,NEWBERRY,MI,49868,LUCE,25,1,medium
1455,HELENA REGIONAL MEDICAL CENTER,HELENA,AR,72342,PHILLIPS,23,1,medium
1456,HEMET VALLEY MEDICAL CENTER,HEMET,CA,92543,RIVERSIDE,25,1,medium
1457,HEMPHILL COUNTY HOSPITAL,CANADIAN,TX,79014,HEMPHILL,29,1,medium
1458,HENDERSON COUNTY COMMUNITY HOSPITAL,LEXINGTON,TN,38351,HENDERSON,20,0,low
1459,HENDRICK MEDICAL CENTER,ABILENE,TX,79601,TAYLOR,20,0,low
1460,HENDRICKS COMMUNITY HOSPITAL,HENDRICKS,MN,56136,LINCOLN,20,0,low
1461,HENDRICKS REGIONAL HEALTH,DANVILLE,IN,46122,HENDRICKS,20,0,low
1462,HENDRY REGIONAL MEDICAL CENTER,CLEWISTON,FL,33440,HENDRY,48,1,medium
1463,HENNEPIN COUNTY MEDICAL CENTER 1,MINNEAPOLIS,MN,55415,HENNEPIN,20,0,low
1464,HENRICO DOCTORS HOSPITAL,RICHMOND,VA,23229,HENRICO,20,0,low
1465,HENRY COUNTY HEALTH CENTER,MOUNT PLEASANT,IA,52641,HENRY,109,1,medium
1466,"HENRY COUNTY HOSPITAL, INC",NAPOLEON,OH,43545,HENRY,21,0,low
1467,HENRY COUNTY MEDICAL CENTER,PARIS,TN,38242,HENRY,22,1,medium
1468,HENRY COUNTY MEMORIAL HOSPITAL,NEW CASTLE,IN,47362,HENRY,20,0,low
1469,HENRY FORD HOSPITAL,DETROIT,MI,48202,WAYNE,22,1,medium
1470,HENRY FORD MACOMB HOSPITAL,CLINTON TOWNSHIP,MI,48038,MACOMB,20,0,low
1471,HENRY FORD WEST BLOOMFIELD HOSPITAL,WEST BLOOMFIELD,MI,48322,OAKLAND,20,0,low
1472,HENRY FORD WYANDOTTE HOSPITAL,WYANDOTTE,MI,48192,WAYNE,20,0,low
1473,HENRY MAYO NEWHALL  HOSPITAL,VALENCIA,CA,91355,LOS ANGELES,20,0,low
1474,HEREFORD REGIONAL MEDICAL CENTER,HEREFORD,TX,79045,DEAF SMITH,21,0,low
1475,HERINGTON MUNICIPAL HOSPITAL,HERINGTON,KS,67449,DICKINSON,32,1,medium
1476,HERITAGE MEDICAL CENTER,SHELBYVILLE,TN,37160,BEDFORD,22,1,medium
1477,HERITAGE PARK SURGICAL HOSPITAL,SHERMAN,TX,75090,GRAYSON,21,0,low
1478,HERITAGE VALLEY BEAVER,BEAVER,PA,15009,BEAVER,20,0,low
1479,HERITAGE VALLEY SEWICKLEY,SEWICKLEY,PA,15143,ALLEGHENY,20,0,low
1480,HERMANN AREA DISTRICT HOSPITAL,HERMANN,MO,65041,GASCONADE,84,1,medium
1481,HERRIN HOSPITAL,HERRIN,IL,62948,WILLIAMSON,23,1,medium
1482,HEYWOOD HOSPITAL,GARDNER,MA,1440,WORCESTER,22,1,medium
1483,HIALEAH HOSPITAL,HIALEAH,FL,33013,MIAMI-DADE,20,0,low
1484,HIAWATHA COMMUNITY HOSPITAL,HIAWATHA,KS,66434,BROWN,41,1,medium
1485,HI-DESERT MEDICAL CENTER,JOSHUA TREE,CA,92252,SAN BERNARDINO,20,0,low
1486,HIGGINS GENERAL HOSPITAL,BREMEN,GA,30110,HARALSON,22,1,medium
1487,HIGH POINT REGIONAL HOSPITAL,HIGH POINT,NC,27261,GUILFORD,21,0,low
1488,HIGHLAND COMMUNITY  HOSPITAL,PICAYUNE,MS,39466,PEARL RIVER,22,1,medium
1489,HIGHLAND DISTRICT HOSPITAL,HILLSBORO,OH,45133,HIGHLAND,110,1,medium
1490,HIGHLAND HOSPITAL,ROCHESTER,NY,14620,MONROE,20,0,low
1491,HIGHLAND HOSPITAL,OAKLAND,CA,94602,ALAMEDA,22,1,medium
1492,HIGHLANDS CASHIERS HOSPITAL INC,HIGHLANDS,NC,28741,MACON,96,1,medium
1493,HIGHLANDS HOSPITAL,CONNELLSVILLE,PA,15425,FAYETTE,21,0,low
1494,HIGHLANDS MEDICAL CENTER,SPARTA,TN,38583,WHITE,21,0,low
1495,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,AL,35768,JACKSON,22,1,medium
1496,HIGHLANDS REGIONAL MEDICAL CENTER,SEBRING,FL,33870,HIGHLANDS,21,0,low
1497,HIGHLANDS REGIONAL MEDICAL CENTER,PRESTONSBURG,KY,41653,FLOYD,22,1,medium
1498,HIGHLINE MEDICAL CENTER,BURIEN,WA,98166,KING,21,0,low
1499,HILL COUNTRY MEMORIAL HOSPITAL INC,FREDERICKSBURG,TX,78624,GILLESPIE,21,0,low
1500,HILL HOSPITAL OF SUMTER COUNTY,YORK,AL,36925,SUMTER,22,1,medium
1501,HILL REGIONAL HOSPITAL,HILLSBORO,TX,76645,HILL,21,0,low
1502,HILLCREST BAPTIST MEDICAL CENTER,WACO,TX,76712,MCLENNAN,22,1,medium
1503,HILLCREST HOSPITAL,MAYFIELD HEIGHTS,OH,44124,CUYAHOGA,21,0,low
1504,HILLCREST HOSPITAL CLAREMORE,CLAREMORE,OK,74017,ROGERS,22,1,medium
1505,HILLCREST HOSPITAL CUSHING,CUSHING,OK,74023,PAYNE,24,1,medium
1506,HILLCREST HOSPITAL HENRYETTA,HENRYETTA,OK,74437,OKMULGEE,23,1,medium
1507,HILLCREST HOSPITAL SOUTH,TULSA,OK,74133,TULSA,22,1,medium
1508,HILLCREST MEDICAL CENTER,TULSA,OK,74104,TULSA,24,1,medium
1509,HILLS & DALES GENERAL HOSPITAL,CASS CITY,MI,48726,TUSCOLA,26,1,medium
1510,HILLSBORO AREA HOSPITAL,HILLSBORO,IL,62049,MONTGOMERY,120,2,high
1511,HILLSBORO COMMUNITY HOSPITAL,HILLSBORO,KS,67063,MARION,38,1,medium
1512,HILLSDALE COMMUNITY HEALTH CENTER,HILLSDALE,MI,49242,HILLSDALE,21,0,low
1513,HILO MEDICAL CENTER,HILO,HI,96720,HAWAII,21,0,low
1514,HILTON HEAD REGIONAL MEDICAL CENTER,HILTON HEAD ISLAND,SC,29925,BEAUFORT,20,0,low
1515,HIMA SAN PABLO HUMACAO,HUMACAO,PR,791,HUMACAO,71,1,medium
1516,HIMA SAN PABLO-CAGUAS,CAGUAS,PR,725,CAGUAS,112,1,medium
1517,HIMA-SAN PABLO FAJARDO,FAJARDO,PR,738,FAJARDO,80,1,medium
1518,HINES VA MEDICAL CENTER,HINES,IL,60141,COOK,118,2,high
1519,HINSDALE HOSPITAL,HINSDALE,IL,60521,DUPAGE,20,0,low
1520,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,92663,ORANGE,21,0,low
1521,HOAG ORTHOPEDIC INSTITUTE,IRVINE,CA,92618,ORANGE,113,1,medium
1522,HOCKING VALLEY COMMUNITY HOSPITAL,LOGAN,OH,43138,HOCKING,108,1,medium
1523,HODGEMAN COUNTY HEALTH CENTER,JETMORE,KS,67854,HODGEMAN,58,1,medium
1524,HOLDENVILLE GENERAL HOSPITAL,HOLDENVILLE,OK,74848,HUGHES,25,1,medium
1525,HOLLAND COMMUNITY HOSPITAL,HOLLAND,MI,49423,OTTAWA,20,0,low
1526,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,LOS ANGELES,CA,90027,LOS ANGELES,20,0,low
1527,HOLMES COUNTY HOSPITAL AND CLINICS,LEXINGTON,MS,39095,HOLMES,31,1,medium
1528,HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,FL,32901,BREVARD,20,0,low
1529,HOLTON COMMUNITY HOSPITAL,HOLTON,KS,66436,JACKSON,28,1,medium
1530,HOLY CROSS HOSPITAL,FORT LAUDERDALE,FL,33308,BROWARD,20,0,low
1531,HOLY CROSS HOSPITAL,SILVER SPRING,MD,20910,MONTGOMERY,21,0,low
1532,HOLY CROSS HOSPITAL,CHICAGO,IL,60629,COOK,24,1,medium
1533,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,TAOS,NM,87571,TAOS,20,0,low
1534,HOLY FAMILY HOSPITAL,METHUEN,MA,1844,ESSEX,22,1,medium
1535,HOLY FAMILY MEMORIAL,MANITOWOC,WI,54221,MANITOWOC,20,0,low
1536,HOLY NAME MEDICAL CENTER,TEANECK,NJ,7666,BERGEN,20,0,low
1537,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER,MEADOWBROOK,PA,19046,MONTGOMERY,20,0,low
1538,HOLY ROSARY HEALTHCARE,MILES CITY,MT,59301,CUSTER,28,1,medium
1539,HOLY SPIRIT HOSPITAL,CAMP HILL,PA,17011,CUMBERLAND,20,0,low
1540,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,1040,HAMPDEN,20,0,low
1541,HOLZER MEDICAL CENTER,GALLIPOLIS,OH,45631,GALLIA,20,0,low
1542,HOLZER MEDICAL CENTER JACKSON,JACKSON,OH,45640,JACKSON,77,1,medium
1543,HOMESTEAD HOSPITAL,HOMESTEAD,FL,33033,MIAMI-DADE,20,0,low
1544,HONORHEALTH DEER VALLEY MEDICAL CENTER,PHOENIX,AZ,85027,MARICOPA,20,0,low
1545,HOOPESTON COMMUNITY MEMORIAL HOSPITAL,HOOPESTON,IL,60942,VERMILION,115,2,high
1546,HOPEDALE MEDICAL COMPLEX,HOPEDALE,IL,61747,TAZEWELL,20,0,low
1547,HOPI HEALTH CARE CENTER,POLACCA,AZ,86042,NAVAJO,91,1,medium
1548,HOPKINS COUNTY MEMORIAL HOSPITAL,SULPHUR SPRINGS,TX,75482,HOPKINS,22,1,medium
1549,HORN MEMORIAL HOSPITAL,IDA GROVE,IA,51445,IDA,30,1,medium
1550,HOSP COMUNITARIO BUEN SAMARITANO,AGUADILLA,PR,603,AGUADILLA,73,1,medium
1551,HOSPITAL DAMAS INC,PONCE,PR,717,PONCE,91,1,medium
1552,HOSPITAL DE LA CONCEPCION,SAN GERMAN,PR,683,SAN GERMAN,51,1,medium
1553,HOSPITAL DISTRICT #1 OF RICE COUNTY,LYONS,KS,67554,RICE,27,1,medium
1554,HOSPITAL DR CAYETANO COLL Y TOSTE,ARECIBO,PR,613,ARECIBO,69,1,medium
1555,HOSPITAL DR SUSONI INC,ARECIBO,PR,614,ARECIBO,25,1,medium
1556,HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC,GUAYAMA,PR,785,GUAYANILLA,109,1,medium
1557,HOSPITAL FOR SPECIAL SURGERY,NEW YORK,NY,10021,NEW YORK,20,0,low
1558,HOSPITAL HERMANOS MELENDEZ INC,BAYAMON,PR,960,BAYAMON,44,1,medium
1559,HOSPITAL MATILDES BRENES INC,BAYAMON,PR,959,BAYAMON,84,1,medium
1560,HOSPITAL MENONITA CAGUAS INC,CAGUAS,PR,725,CAGUAS,20,0,low
1561,HOSPITAL MENONITA DE CAYEY,CAYEY,PR,737,CAYEY,24,1,medium
1562,HOSPITAL METROPOLITANO DR PILA,PONCE,PR,733,PONCE,96,1,medium
1563,HOSPITAL METROPOLITANO DR TITO MATTEI,YAUCO,PR,698,YAUCO,72,1,medium
1564,HOSPITAL METROPOLITANO SAN GERMAN,SAN GERMAN,PR,683,SAN GERMAN,43,1,medium
1565,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,6050,HARTFORD,20,0,low
1566,HOSPITAL OF UNIV OF PENNSYLVANIA,PHILADELPHIA,PA,19104,PHILADELPHIA,21,0,low
1567,HOSPITAL ONCOLOGICO DR ISAAC GONZALEZ MARTINEZ,SAN JUAN,PR,935,SAN JUAN,100,1,medium
1568,"HOSPITAL PAVIA HATO REY, INC",HATO REY,PR,919,SAN JUAN,100,1,medium
1569,HOSPITAL PAVIA SANTURCE,FERNANDEZ JUNCOS,PR,910,SAN JUAN,104,1,medium
1570,HOSPITAL PEREA,MAYAGUEZ,PR,681,MAYAGUEZ,91,1,medium
1571,HOSPITAL SAN CARLOS BORROMEO,MOCA,PR,676,MOCA,86,1,medium
1572,HOSPITAL SAN CRISTOBAL,COTO LAUREL,PR,780,PONCE,75,1,medium
1573,HOSPITAL SAN FRANCISCO,SAN JUAN,PR,923,SAN JUAN,67,1,medium
1574,HOSPITAL UNIVERSITARIO DE ADULTO,RIO PIEDRAS,PR,927,SAN JUAN,20,0,low
1575,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,BAYAMON,PR,956,BAYAMON,77,1,medium
1576,"HOSPITAL UPR, DR  FEDERICO TRILLA",CAROLINA,PR,984,CAROLINA,111,1,medium
1577,HOT SPRINGS COUNTY MEMORIAL HOSPITAL,THERMOPOLIS,WY,82443,HOT SPRINGS,70,1,medium
1578,HOULTON REGIONAL HOSPITAL,HOULTON,ME,4730,AROOSTOOK,27,1,medium
1579,HOUSTON COUNTY COMMUNITY HOSPITAL,ERIN,TN,37061,HOUSTON,20,0,low
1580,HOUSTON HOSPITAL FOR SPECIALIZED SURGERY,HOUSTON,TX,77004,HARRIS,80,1,medium
1581,HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,31093,HOUSTON,21,0,low
1582,HOUSTON METHODIST SAN JACINTO HOSPITAL,BAYTOWN,TX,77521,HARRIS,20,0,low
1583,HOUSTON METHODIST ST JOHN HOSPITAL,NASSAU BAY,TX,77058,HARRIS,20,0,low
1584,HOUSTON NORTHWEST MEDICAL CENTER,HOUSTON,TX,77090,HARRIS,20,0,low
1585,HOUSTON ORTHOPEDIC AND SPINE HOSPITAL,BELLAIRE,TX,77401,HARRIS,20,0,low
1586,HOUSTON PHYSICIANS HOSPITAL,WEBSTER,TX,77598,HARRIS,21,0,low
1587,HOUSTON VA MEDICAL CENTER,HOUSTON,TX,77030,HARRIS,113,1,medium
1588,HOWARD COUNTY GENERAL HOSPITAL,COLUMBIA,MD,21044,HOWARD,20,0,low
1589,HOWARD COUNTY MEDICAL CENTER,ST PAUL,NE,68873,HOWARD,105,1,medium
1590,HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,71852,HOWARD,21,0,low
1591,HOWARD UNIVERSITY HOSPITAL,WASHINGTON,DC,20060,DISTRICT OF COLUMBIA,25,1,medium
1592,HOWARD YOUNG MEDICAL CTR,WOODRUFF,WI,54568,ONEIDA,20,0,low
1593,HSHS ST CLARE MEMORIAL HOSPITAL,OCONTO FALLS,WI,54154,OCONTO,29,1,medium
1594,HUDSON HOSPITAL,HUDSON,WI,54016,SAINT CROIX,20,0,low
1595,HUGGINS HOSPITAL,WOLFEBORO,NH,3894,CARROLL,108,1,medium
1596,HUGH CHATHAM MEMORIAL HOSPITAL,ELKIN,NC,28621,SURRY,20,0,low
1597,HUGULEY MEMORIAL MEDICAL CENTER,BURLESON,TX,76028,JOHNSON,20,0,low
1598,HUMBOLDT GENERAL HOSPITAL,WINNEMUCCA,NV,89445,HUMBOLDT,20,0,low
1599,HUNT REGIONAL MEDICAL CENTER,GREENVILLE,TX,75401,HUNT,22,1,medium
1600,HUNTERDON MEDICAL CENTER,FLEMINGTON,NJ,8822,HUNTERDON,20,0,low
1601,HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH,CA,92647,ORANGE,23,1,medium
1602,HUNTINGTON HOSPITAL,HUNTINGTON,NY,11743,SUFFOLK,20,0,low
1603,HUNTINGTON MEMORIAL HOSPITAL,PASADENA,CA,91109,LOS ANGELES,22,1,medium
1604,HUNTINGTON VA MEDICAL CENTER,HUNTINGTON,WV,25704,WAYNE,118,2,high
1605,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,35801,MADISON,22,1,medium
1606,HUNTSVILLE MEMORIAL HOSPITAL,HUNTSVILLE,TX,77340,WALKER,20,0,low
1607,HURLEY MEDICAL CENTER,FLINT,MI,48503,GENESEE,20,0,low
1608,HURON MEDICAL CENTER,BAD AXE,MI,48413,HURON,20,0,low
1609,HURON REGIONAL MEDICAL CENTER,HURON,SD,57350,BEADLE,100,1,medium
1610,HURON VALLEY-SINAI HOSPITAL,COMMERCE TOWNSHIP,MI,48382,OAKLAND,20,0,low
1611,HUTCHESON MEDICAL CENTER,FORT OGLETHORPE,GA,30742,CATOOSA,21,0,low
1612,HUTCHINSON HEALTH,HUTCHINSON,MN,55350,MCLEOD,20,0,low
1613,HUTCHINSON REGIONAL MEDICAL CENTER INC,HUTCHINSON,KS,67502,RENO,21,0,low
1614,IBERIA GENERAL HOSPITAL AND MEDICAL CENTER,NEW IBERIA,LA,70562,IBERIA,20,0,low
1615,IBERIA REHABILITATION HOSPITAL,NEW IBERIA,LA,70560,IBERIA,60,1,medium
1616,IDAHO DOCTORS HOSPITAL,BLACKFOOT,ID,83221,BINGHAM,80,1,medium
1617,ILLINI COMMUNITY HOSPITAL,PITTSFIELD,IL,62363,PIKE,21,0,low
1618,ILLINOIS VALLEY COMMUNITY HOSPITAL,PERU,IL,61354,LA SALLE,20,0,low
1619,INDIAN PATH MEDICAL CENTER,KINGSPORT,TN,37660,SULLIVAN,20,0,low
1620,INDIAN RIVER MEDICAL CENTER,VERO BEACH,FL,32960,INDIAN RIVER,20,0,low
1621,INDIANA REGIONAL MEDICAL CENTER,INDIANA,PA,15701,INDIANA,20,0,low
1622,INDIANA UNIVERSITY HEALTH,INDIANAPOLIS,IN,46202,MARION,21,0,low
1623,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,LAFAYETTE,IN,47905,TIPPECANOE,20,0,low
1624,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,MUNCIE,IN,47303,DELAWARE,20,0,low
1625,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,BEDFORD,IN,47421,LAWRENCE,20,0,low
1626,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,HARTFORD CITY,IN,47348,BLACKFORD,22,1,medium
1627,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,BLOOMINGTON,IN,47403,MONROE,20,0,low
1628,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,LA PORTE,IN,46350,LA PORTE,20,0,low
1629,INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,MARTINSVILLE,IN,46151,MORGAN,21,0,low
1630,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,CARMEL,IN,46032,HAMILTON,22,1,medium
1631,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,PAOLI,IN,47454,ORANGE,20,0,low
1632,INDIANA UNIVERSITY HEALTH STARKE HOSPITAL,KNOX,IN,46534,STARKE,23,1,medium
1633,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,TIPTON,IN,46072,TIPTON,26,1,medium
1634,INDIANAPOLIS VA MEDICAL CENTER,INDIANAPOLIS,IN,46202,MARION,104,1,medium
1635,INDIANHEAD MEDICAL CTR,SHELL LAKE,WI,54871,WASHBURN,95,1,medium
1636,INGALLS MEMORIAL HOSPITAL,HARVEY,IL,60426,COOK,20,0,low
1637,INLAND HOSPITAL,WATERVILLE,ME,4901,KENNEBEC,21,0,low
1638,INNOVA HOSPITAL SAN ANTONIO,SAN ANTONIO,TX,78222,BEXAR,51,1,medium
1639,INOVA ALEXANDRIA HOSPITAL,ALEXANDRIA,VA,22304,ALEXANDRIA CITY,20,0,low
1640,INOVA FAIR OAKS HOSPITAL,FAIRFAX,VA,22033,FAIRFAX,20,0,low
1641,INOVA FAIRFAX HOSPITAL,FALLS CHURCH,VA,22042,FAIRFAX,20,0,low
1642,INOVA LOUDOUN HOSPITAL,LEESBURG,VA,20176,LOUDOUN,20,0,low
1643,INOVA MOUNT VERNON HOSPITAL,ALEXANDRIA,VA,22306,FAIRFAX,20,0,low
1644,INSPIRA MEDICAL CENTER ELMER,ELMER,NJ,8318,SALEM,23,1,medium
1645,INSPIRA MEDICAL CENTER VINELAND,VINELAND,NJ,8360,CUMBERLAND,23,1,medium
1646,INSPIRA MEDICAL CENTER WOODBURY,WOODBURY,NJ,8096,GLOUCESTER,22,1,medium
1647,INSTITUTE FOR ORTHOPAEDIC SURGERY,LIMA,OH,45804,ALLEN,117,2,high
1648,INTEGRIS BAPTIST MEDICAL CENTER,OKLAHOMA CITY,OK,73112,OKLAHOMA,24,1,medium
1649,INTEGRIS BAPTIST REGIONAL HEALTH CENTER,MIAMI,OK,74355,OTTAWA,20,0,low
1650,INTEGRIS BASS BAPTIST HEALTH CENTER,ENID,OK,73701,GARFIELD,20,0,low
1651,INTEGRIS CANADIAN VALLEY  HOSPITAL,YUKON,OK,73099,CANADIAN,21,0,low
1652,INTEGRIS GROVE HOSPITAL,GROVE,OK,74344,DELAWARE,20,0,low
1653,INTEGRIS HEALTH EDMOND,EDMOND,OK,73034,OKLAHOMA,20,0,low
1654,INTEGRIS SOUTHWEST MEDICAL CENTER,OKLAHOMA CITY,OK,73109,OKLAHOMA,21,0,low
1655,INTERFAITH MEDICAL CENTER,BROOKLYN,NY,11213,KINGS,20,0,low
1656,INTERMOUNTAIN MEDICAL CENTER,MURRAY,UT,84107,SALT LAKE,21,0,low
1657,IOWA CITY VA MEDICAL CENTER,IOWA CITY,IA,52246,JOHNSON,106,1,medium
1658,IOWA LUTHERAN HOSPITAL,DES MOINES,IA,50316,POLK,22,1,medium
1659,IOWA METHODIST MEDICAL CENTER,DES MOINES,IA,50309,POLK,21,0,low
1660,IOWA SPECIALTY HOSPITAL - BELMOND,BELMOND,IA,50421,WRIGHT,74,1,medium
1661,IOWA SPECIALTY HOSPITAL-CLARION,CLARION,IA,50525,WRIGHT,28,1,medium
1662,"IRA DAVENPORT MEMORIAL HOSPITAL, INC",BATH,NY,14810,STEUBEN,21,0,low
1663,IREDELL MEMORIAL HOSPITAL INC,STATESVILLE,NC,28677,IREDELL,23,1,medium
1664,IRON MOUNTAIN MI VA MEDICAL CENTER,IRON MOUNTAIN,MI,49801,DICKINSON,111,1,medium
1665,IROQUOIS MEMORIAL HOSPITAL,WATSEKA,IL,60970,IROQUOIS,20,0,low
1666,IRWIN COUNTY HOSPITAL,OCILLA,GA,31774,IRWIN,20,0,low
1667,ISLAND HOSPITAL,ANACORTES,WA,98221,SKAGIT,21,0,low
1668,IU HEALTH GOSHEN HOSPITAL,GOSHEN,IN,46526,ELKHART,21,0,low
1669,IU HEALTH WEST HOSPITAL,AVON,IN,46123,HENDRICKS,22,1,medium
1670,IVINSON MEMORIAL HOSPITAL,LARAMIE,WY,82072,ALBANY,20,0,low
1671,J ARTHUR DOSHER MEMORIAL HOSPITAL,SOUTHPORT,NC,28461,BRUNSWICK,22,1,medium
1672,J C BLAIR MEMORIAL HOSPITAL,HUNTINGDON,PA,16652,HUNTINGDON,20,0,low
1673,J PAUL JONES HOSPITAL,CAMDEN,AL,36726,WILCOX,20,0,low
1674,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,36867,RUSSELL,22,1,medium
1675,JACKSON COUNTY MEMORIAL HOSPITAL AUTHORITY,ALTUS,OK,73523,JACKSON,21,0,low
1676,JACKSON COUNTY REGIONAL HEALTH CENTER,MAQUOKETA,IA,52060,JACKSON,20,0,low
1677,JACKSON GENERAL HOSPITAL,RIPLEY,WV,25271,JACKSON,26,1,medium
1678,JACKSON HEALTHCARE CENTER,EDNA,TX,77957,JACKSON,35,1,medium
1679,JACKSON HOSPITAL,MARIANNA,FL,32446,JACKSON,21,0,low
1680,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,21,0,low
1681,JACKSON MEDICAL CENTER,JACKSON,AL,36545,CLARKE,24,1,medium
1682,JACKSON MEMORIAL HOSPITAL,MIAMI,FL,33136,MIAMI-DADE,23,1,medium
1683,JACKSON PARISH HOSPITAL,JONESBORO,LA,71251,JACKSON,45,1,medium
1684,JACKSON PARK HOSPITAL,CHICAGO,IL,60649,COOK,20,0,low
1685,JACKSON PURCHASE MEDICAL CENTER,MAYFIELD,KY,42066,GRAVES,21,0,low
1686,JACKSON-MADISON COUNTY GENERAL HOSPITAL,JACKSON,TN,38301,MADISON,21,0,low
1687,JACOBI MEDICAL CENTER,BRONX,NY,10461,BRONX,20,0,low
1688,JAMAICA HOSPITAL MEDICAL CENTER,JAMAICA,NY,11418,QUEENS,22,1,medium
1689,JAMES E. VAN ZANDT VA MEDICAL CENTER - ALTOONA,ALTOONA,PA,16602,BLAIR,118,2,high
1690,JAMESON MEMORIAL HOSPITAL,NEW CASTLE,PA,16105,LAWRENCE,20,0,low
1691,JAMESTOWN REGIONAL MEDICAL CENTER,JAMESTOWN,TN,38556,FENTRESS,21,0,low
1692,JAMESTOWN REGIONAL MEDICAL CENTER,JAMESTOWN,ND,58401,STUTSMAN,26,1,medium
1693,JANE PHILLIPS MEDICAL CENTER,BARTLESVILLE,OK,74006,WASHINGTON,20,0,low
1694,JANE TODD CRAWFORD HOSPITAL,GREENSBURG,KY,42743,GREEN,21,0,low
1695,JASPER COUNTY HOSPITAL,RENSSELAER,IN,47978,JASPER,21,0,low
1696,JASPER MEMORIAL HOSPITAL,MONTICELLO,GA,31064,JASPER,20,0,low
1697,JAY COUNTY HOSPITAL,PORTLAND,IN,47371,JAY,21,0,low
1698,JAY HOSPITAL,JAY,FL,32565,SANTA ROSA,22,1,medium
1699,JEANES HOSPITAL,PHILADELPHIA,PA,19111,PHILADELPHIA,22,1,medium
1700,JEFF DAVIS HOSPITAL,HAZLEHURST,GA,31539,JEFF DAVIS,39,1,medium
1701,JEFFERSON COMMUNITY HEALTH CENTER,FAIRBURY,NE,68352,JEFFERSON,23,1,medium
1702,JEFFERSON COUNTY HEALTH CENTER,FAIRFIELD,IA,52556,JEFFERSON,26,1,medium
1703,JEFFERSON COUNTY HOSPITAL,FAYETTE,MS,39069,JEFFERSON,25,1,medium
